2017;Electricidad;Gas;Gasóleo;Fueloil;Otros productos petrolíferos;Carbón y coque;Biocombustibles;Calor y otros consumos energéticos
    B Industrias extractivas;119484;31896;78123;1408;1836;6113;410;190
    05 Extracción de antracita. hulla y lignito;9945;9069;6554;0;16;0;0;0
    06 Extracción de crudo de petróleo y gas natural;2855;0;0;0;0;0;0;0
    061 Extracción de crudo de petróleo;2855;0;0;0;0;0;0;0
    07 Extracción de minerales metálicos;36569;1207;6604;0;106;6113;0;86
    08 Otras industrias extractivas;70080;21611;60281;1408;755;0;410;103
    081 Extracción de piedra. arena y arcilla;27119;6650;41174;1408;444;0;0;14
    089 Industrias extractivas n.c.o.p.;42961;14961;19107;0;311;0;410;89
    09 Actividades de apoyo a las industrias extractivas;36;9;4684;0;959;0;0;0
    C Industria manufacturera;6107975;2949778;509048;84570;105026;145410;27500;353573
    10 Alimentación (CNAE 10);963764;432274;164720;14613;12889;73;6211;19119
    101 Industria cárnica (CNAE 10.1);249783;56530;52987;1365;3930;43;1281;9866
    102 Industria del pescado (CNAE 10.2);46549;7220;6223;3569;1458;0;376;927
    103 Preparación y conservación de frutas y hortalizas (CNAE 10.3);117643;68121;14444;243;580;0;2320;2230
    104 Aceites y grasas (CNAE 10.4);54611;38918;4776;3615;883;0;0;150
    105 Productos lácteos (CNAE 10.5);103556;57096;16335;2237;1125;20;804;1886
    106 Molinerías. almidones y productos amiláceos (CNAE 10.6);50575;27706;6026;261;132;0;207;67
    107 Panadería y pastas alimenticias (CNAE 10.7);140379;37635;31914;225;626;0;516;503
    108 Fabricación de otros productos alimenticios;121818;92754;12495;862;2755;0;541;3409
    109 Comida para animales (CNAE 10.9);78849;46294;19520;2236;1399;11;165;81
    11 Fabricación de bebidas;129331;52084;15076;20149;3148;0;482;983
    110 Fabricación de bebidas;129331;52084;15076;20149;3148;0;482;983
    12 Industria del tabaco (CNAE 12);2753;213;84;408;145;0;0;0
    120 Industria del tabaco;2753;213;84;408;145;0;0;0
    13 Industria textil;95124;41427;7802;449;582;0;136;93
    131 Preparación e hilado de fibras textiles (CNAE 13.1);25228;2855;1602;86;90;0;128;2
    132 Fabricación de tejidos textiles (CNAE 13.2);13657;5079;346;59;226;0;7;0
    133 Acabado de textiles (CNAE 13.3);18083;26343;813;60;48;0;0;0
    139 Fabricación de otros productos textiles;38156;7150;5041;244;218;0;0;91
    14 Confección de prendas de vestir;16251;1440;3244;0;73;0;0;7
    141 Confección de prendas de vestir (CNAE 14.1);12260;305;2895;0;58;0;0;0
